-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2021 
Location: Latitude  36.9014   Longitude -117.7198 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1359.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETTOP     MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,2011,0.42,0.41,0.4,0.37,0.3,0.18,0.15,0.13,0.12,0.22,0.27,0.21,0.27
GWETTOP,2012,0.23,0.33,0.3,0.27,0.12,0.09,0.12,0.19,0.18,0.21,0.22,0.31,0.21
GWETTOP,2013,0.32,0.31,0.2,0.12,0.17,0.09,0.15,0.16,0.2,0.22,0.23,0.29,0.2
GWETTOP,2014,0.19,0.23,0.34,0.24,0.16,0.09,0.16,0.25,0.16,0.16,0.2,0.35,0.21
GWETTOP,2015,0.35,0.34,0.33,0.19,0.24,0.15,0.18,0.18,0.1,0.33,0.35,0.35,0.26
GWETTOP,2016,0.37,0.4,0.37,0.35,0.3,0.16,0.09,0.06,0.09,0.13,0.27,0.34,0.24
GWETTOP,2017,0.48,0.56,0.52,0.43,0.34,0.2,0.12,0.16,0.2,0.12,0.17,0.19,0.29
GWETTOP,2018,0.3,0.32,0.34,0.3,0.22,0.1,0.16,0.1,0.09,0.23,0.16,0.36,0.23
GWETTOP,2019,0.39,0.47,0.52,0.42,0.38,0.3,0.12,0.1,0.09,0.09,0.17,0.38,0.28
GWETTOP,2020,0.37,0.35,0.35,0.36,0.25,0.13,0.09,0.09,0.08,0.07,0.11,0.16,0.2
GWETTOP,2021,0.25,0.34,0.3,0.16,0.1,0.08,0.12,0.13,0.08,0.14,0.27,0.33,0.19
